load_zone,period,AES,Airport_DSG,Battery_Bulk,Battery_Bulk_MWh,CC_152,CIP_CT,CentralTrackingPV,DistBattery,DistBattery_MWh,FlatDistPV,H-Power,Hawaii_Cogen,IC_Barge,IC_Schofield,Kahe_1,Kahe_2,Kahe_3,Kahe_4,Kahe_5,Kahe_6,Kalaeloa_CC1,Kalaeloa_CC2,Kalaeloa_CC3,OnshoreWind,SlopedDistPV,Tesoro_Hawaii,Waiau_10,Waiau_3,Waiau_4,Waiau_5,Waiau_6,Waiau_7,Waiau_8,Waiau_9,hydro,fuel cells
Oahu,2020,180.0,8.0,0.0,0.0,0.0,113.0,185.7,38.097,152.388,370.7000000000001,73.0,12.2,0.0,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,99.0,303.299999999999,20.0,49.9,46.6,46.6,54.5,53.5,82.9,86.1,52.9,0.0,0.0
Oahu,2021,180.0,8.0,12.5,50.0,0.0,113.0,206.7,38.097,152.388,370.7000000000001,73.0,12.2,0.0,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,123.0,303.299999999999,20.0,49.9,46.6,46.6,54.5,53.5,82.9,86.1,52.9,0.0,0.0
Oahu,2022,180.0,8.0,339.5,1758.0,0.0,113.0,333.69999999999993,38.097,152.388,370.7000000000001,73.0,12.2,0.0,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,123.0,303.299999999999,20.0,49.9,46.6,46.6,54.5,53.5,82.9,86.1,52.9,0.0,0.0
Oahu,2023,0.0,8.0,339.5,1758.0,0.0,113.0,333.69999999999993,38.097,152.388,370.7000000000001,73.0,12.2,0.0,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,123.0,303.299999999999,20.0,49.9,0.0,0.0,54.5,53.5,82.9,86.1,52.9,0.0,0.0
Oahu,2024,0.0,8.0,339.5,1758.0,0.0,113.0,333.69999999999993,44.909,179.636,370.7000000000001,73.0,12.2,0.0,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,123.0,303.299999999999,20.0,49.9,0.0,0.0,54.5,53.5,82.9,86.1,52.9,0.0,0.0
Oahu,2025,0.0,8.0,339.5,1758.0,0.0,113.0,971.2,54.602000000000004,218.40800000000002,370.7000000000001,73.0,12.2,0.0,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,123.0,303.299999999999,20.0,49.9,0.0,0.0,54.5,53.5,82.9,86.1,52.9,0.0,0.0
Oahu,2026,0.0,8.0,339.5,1758.0,150.586,113.0,971.2,57.736999999999995,230.94799999999998,370.7000000000001,73.0,12.2,0.0,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,123.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,82.9,86.1,52.9,0.0,0.0
Oahu,2027,0.0,8.0,339.5,1758.0,150.586,113.0,971.2,61.468999999999994,245.87599999999998,370.7000000000001,73.0,12.2,0.0,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,123.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,82.9,86.1,52.9,0.0,0.0
Oahu,2028,0.0,8.0,339.5,1758.0,301.172,113.0,971.2,66.011,264.044,377.99999999999994,73.0,12.2,0.0,48.84,82.1,82.1,86.1,85.3,0.0,0.0,90.0,90.0,28.0,123.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,82.9,86.1,52.9,0.0,0.0
Oahu,2029,0.0,8.0,339.5,1758.0,301.172,113.0,971.2,71.335,285.34,403.7999999999999,73.0,12.2,0.0,48.84,82.1,82.1,86.1,85.3,0.0,0.0,90.0,90.0,28.0,123.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,82.9,86.1,52.9,0.0,0.0
Oahu,2030,0.0,8.0,504.5,2418.0,301.172,113.0,971.2,77.45,309.8,431.09999999999997,73.0,12.2,0.0,48.84,82.1,82.1,86.1,85.3,0.0,0.0,90.0,90.0,28.0,123.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,82.9,86.1,52.9,0.0,0.0
Oahu,2031,0.0,8.0,504.5,2418.0,301.172,113.0,971.2,84.16899999999998,336.67599999999993,459.49999999999983,73.0,12.2,0.0,48.84,82.1,82.1,86.1,85.3,0.0,0.0,90.0,90.0,28.0,123.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
Oahu,2032,0.0,8.0,504.5,2418.0,602.344,113.0,971.2,91.48499999999999,365.93999999999994,489.1999999999999,73.0,12.2,0.0,48.84,82.1,82.1,86.1,85.3,0.0,0.0,90.0,90.0,28.0,123.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
Oahu,2033,0.0,8.0,504.5,2418.0,602.344,113.0,971.2,99.39799999999998,397.5919999999999,519.6999999999998,73.0,12.2,0.0,48.84,82.1,82.1,86.1,85.3,0.0,0.0,90.0,90.0,28.0,123.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
Oahu,2034,0.0,8.0,504.5,2418.0,602.344,113.0,971.2,107.75299999999999,431.01199999999994,550.9999999999998,73.0,12.2,0.0,48.84,82.1,82.1,86.1,85.3,0.0,0.0,90.0,90.0,28.0,123.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
Oahu,2035,0.0,8.0,672.5,3090.0,602.344,113.0,971.2,116.476,465.904,583.1999999999999,73.0,12.2,0.0,48.84,0.0,0.0,86.1,85.3,0.0,0.0,90.0,90.0,28.0,123.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
Oahu,2036,0.0,8.0,672.5,3090.0,602.344,113.0,971.2,125.482,501.928,615.6999999999998,73.0,12.2,0.0,48.84,0.0,0.0,86.1,85.3,0.0,0.0,90.0,90.0,28.0,123.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
Oahu,2037,0.0,8.0,672.5,3090.0,602.344,113.0,971.2,134.797,539.188,648.5999999999998,73.0,12.2,0.0,48.84,0.0,0.0,86.1,85.3,0.0,0.0,90.0,90.0,28.0,123.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
Oahu,2038,0.0,8.0,672.5,3090.0,602.344,113.0,971.2,144.287,577.148,650.4773539656883,73.0,12.2,0.0,48.84,0.0,0.0,86.1,85.3,0.0,0.0,90.0,90.0,28.0,123.0,334.7226460343105,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
Oahu,2039,0.0,8.0,672.5,3090.0,602.344,113.0,971.2,153.84300000000002,615.3720000000001,650.4773539656883,73.0,12.2,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,123.0,367.42264603431056,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
Oahu,2040,0.0,8.0,1092.5,4770.0,602.344,113.0,1251.1999999999998,163.531,654.124,650.4773539656883,73.0,12.2,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,123.0,400.6226460343108,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
Oahu,2041,0.0,8.0,1092.5,4770.0,602.344,113.0,1251.1999999999998,173.30799999999996,693.2319999999999,683.477353965688,73.0,12.2,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,123.0,400.6226460343108,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
Oahu,2042,0.0,8.0,1092.5,4770.0,602.344,113.0,1251.1999999999998,183.13500000000002,732.5400000000001,716.577353965688,73.0,12.2,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,123.0,400.6226460343108,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
Oahu,2043,0.0,8.0,1092.5,4770.0,602.344,113.0,1251.1999999999998,193.00899999999996,772.0359999999998,810.7213833315236,73.0,12.2,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,123.0,339.7786166684753,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
Oahu,2044,0.0,8.0,1092.5,4770.0,602.344,113.0,1251.1999999999998,202.94800000000004,811.7920000000001,868.289640980531,73.0,12.2,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,123.0,315.71035901946794,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
Oahu,2045,0.0,8.0,2617.5,10870.0,602.344,113.0,2431.2,213.04600000000005,852.1840000000002,868.289640980531,73.0,0.0,67.14556800000001,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,123.0,349.010359019468,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
Oahu,2046,0.0,8.0,2617.5,10870.0,602.344,113.0,2431.2,213.04600000000005,852.1840000000002,868.289640980531,73.0,0.0,67.14556800000001,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,123.0,349.0103590194678,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
Oahu,2047,0.0,8.0,2617.5,10870.0,602.344,113.0,2431.2,213.04600000000002,852.1840000000001,868.289640980531,73.0,0.0,67.14556800000001,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,123.0,349.01035901946796,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
Oahu,2048,0.0,8.0,2617.5,10870.0,602.344,113.0,2431.2,213.04600000000002,852.1840000000001,868.289640980531,73.0,0.0,67.14556800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,123.0,349.01035901946807,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
Oahu,2049,0.0,8.0,2617.5,10870.0,602.344,113.0,2431.2,213.04600000000002,852.1840000000001,868.289640980531,73.0,0.0,67.14556800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,123.0,349.0103590194679,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
Oahu,2050,0.0,8.0,2617.5,10870.0,602.344,113.0,2431.2000000000003,213.04600000000002,852.1840000000001,857.5945756739577,73.0,0.0,67.14556800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,123.0,359.70542432604105,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0.0
