load_zone,period,AES,Airport_DSG,Battery_Bulk,CC_152,CIP_CT,CentralTrackingPV,DistBattery,FlatDistPV,H-Power,Hawaii_Cogen,IC_Barge,IC_Schofield,Kahe_1,Kahe_2,Kahe_3,Kahe_4,Kahe_5,Kahe_6,Kalaeloa_CC1,Kalaeloa_CC2,Kalaeloa_CC3,OnshoreWind,SlopedDistPV,Tesoro_Hawaii,Waiau_10,Waiau_3,Waiau_4,Waiau_5,Waiau_6,Waiau_7,Waiau_8,Waiau_9,GeneratePumpedHydro
Oahu,2020,1386.8183529594712,0.0,0.0,0.0,0.0,432.9359325474184,46.08829769988027,655.7206100977032,374.92800000000045,92.74500000000002,0.0,0.0,331.14873945484777,326.4791784441917,361.2278314707375,354.3726321762015,570.0469714644992,502.4240724579143,739.3662184936655,394.2000000000003,51.852012141644394,184.37447928147265,510.4330452186561,153.4790000000003,0.0,0.0,0.0,0.0,0.0,248.89950835192673,275.95973612885786,0.0,0.0
Oahu,2021,1362.8533181236567,0.0,21.112813382735364,0.0,0.0,484.6170475234756,58.14020013823083,655.7206100977036,374.92800000000005,92.74500000000003,0.0,0.5803248968363137,327.8655265178193,327.5700784044023,358.91962624409626,350.8923348565047,556.2194202578677,499.9824687034289,707.1346552396504,377.52059601289506,45.814169520386336,262.8314647259567,510.43304521865616,153.47900000000016,0.0,0.0,0.0,0.0,0.0,244.2899130677368,274.1985757095885,0.0,0.0
Oahu,2022,1384.3054076565004,0.0,274.42464543613363,0.0,0.0,798.0036875851238,49.97687615426295,655.7206100977032,374.9280000000004,92.74500000000005,0.0,0.0,321.50042636317824,321.4919999999994,324.20474828060554,323.332305377522,489.103112792297,477.3389669876212,710.9427008845962,333.92228335625873,49.06044466497918,262.83146472595666,510.43304521865633,153.47900000000033,0.0,0.0,0.0,0.0,0.0,236.5200000000004,246.28713256989795,0.0,0.0
Oahu,2023,0,3.4140302613480054,263.8487325609877,0.0,0.0,798.0036875851234,51.78990552408944,655.7206100977037,374.92800000000005,92.74500000000003,0.0,2.4496577070782637,215.53682751770214,525.1794510318053,742.2658203817831,552.8966252075297,1164.9582998624478,251.1431461683615,788.4,788.4,245.2799999999997,262.8314647259568,510.4330452186563,153.47900000000016,0.0,0,0,2.878830811554341,4.608338376891327,0.0,0.0,0.0,0.0
Oahu,2024,0,1.8716918844566706,220.756518086953,0.0,0.0,798.0036875851238,58.62472193809021,655.7206100977033,374.9280000000004,92.74500000000005,0.0,1.6229930319342047,250.29081854685566,557.7203457613514,734.6205290031638,493.91580804823315,1101.3760027510325,373.1681028914977,788.3999999999994,788.3999999999994,245.28000000000023,262.831464725957,510.43304521865633,153.47900000000035,0.0,0,0,0.0,2.98165337001375,15.705089214616539,0.0,0.0,0.0
Oahu,2025,0,2.6749931224209087,505.3283326477161,0.0,0.0,2331.2453226476496,72.89722518970531,655.7206100977037,374.92800000000005,92.74500000000003,0.0,9.176736302057892,22.134207125645503,376.62425504526414,537.480078078062,132.34334941271007,885.2153193998454,147.5993935462472,785.7120438209654,747.2819215955985,219.8126695069111,262.83146472595695,510.43304521865645,153.47900000000016,2.213396148555704,0,0,22.473886704235696,17.170563961485563,0.0,61.202062928387,1.1078528198074276,0.0
Oahu,2026,0,2.2653094910591474,545.6180129684764,1262.0235289947195,3.1178129298486934,2331.2453226476496,70.13618877514729,655.7206100977033,374.9280000000004,92.74500000000005,0.0,8.338695507531117,22.44132462173319,66.99940967555176,312.9912943349034,71.93068665348552,532.7763060605728,0.0,727.3993122420902,772.133149931224,199.09548465141313,262.831464725957,510.4330452186563,153.47900000000035,1.7713796423658872,0,0,0,0,18.23890526241566,5.792203576341116,1.291507565337001,0.0
Oahu,2027,0,1.9439889958734546,519.2643964065015,1245.8400527927708,15.543878954607981,2331.2453226476496,87.0446538158661,655.7206100977036,374.92800000000005,92.74500000000003,0.0,8.634474611481743,44.92692285940411,91.56079702332892,279.5189462037459,45.74890921595592,526.4588316761054,28.867720418645387,788.4,727.399312242091,206.14316368638228,262.83146472595695,510.4330452186564,153.47900000000016,1.2995405777166402,0,0,0,0,17.051382618991692,13.7314305364511,0.9775171939477305,0.0
Oahu,2028,0,1.5423383768913328,573.1097042787226,2403.7610782209595,6.461554332874824,2331.2453226476496,101.78222558464934,668.6657192357518,374.9280000000004,92.74500000000005,0.0,12.274832813950988,0.0,0.0,128.03242168072305,21.811329648614677,0,0,703.9027510316356,621.574415405777,142.87798231015967,262.831464725957,510.4330452186565,153.47900000000033,2.189799174690508,0,0,0,0,4.663163686382392,26.19826320154506,0.8294085281980744,0.0
Oahu,2029,0,1.5343053645116913,582.8952334908385,2425.190366974036,9.263067400275094,2331.2453226476496,104.70150779272139,714.4169268743342,374.92800000000005,92.74500000000003,0.0,11.960093511029173,8.679860100654777,5.6066409903715595,157.59389940415798,11.058518033055684,0,0,636.3953232462178,674.260935350756,145.89125596621102,262.83146472595695,510.4330452186565,153.47900000000016,2.1939160935350746,0,0,0,0,4.663163686382392,16.600256823137503,1.1670962861072913,0.0
Oahu,2030,0,0.3936176066024752,704.3146645622213,2525.0988856694735,6.325997248968363,2331.2453226476496,117.3004449086594,762.7020835878532,374.9280000000004,92.74500000000005,0.0,2.8554059650618138,0.0,9.811636599350548,120.4239739673621,12.929535486629572,0,0,682.665474552957,657.542228335625,155.32181170878783,262.83146472595706,510.43304521865645,153.47900000000035,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Oahu,2031,0,0.0,733.9973074518937,2526.2879740875887,0.0,2331.2453226476496,117.45976283098277,813.0638780427266,374.92800000000005,92.74500000000003,0.0,3.450756212757305,0.0,9.606640185841542,133.05028375795007,0.0,0,0,695.4982118294361,671.0075653370018,140.30735826610191,262.8314647259569,510.4330452186565,153.47900000000016,1.0832540540478803,0,0,0,0,0,0,0.9301224209078404,0.0
Oahu,2032,0,0.0,308.3390724605788,3322.689619762703,0.0,2331.24532264765,79.29205971032773,865.730965905746,374.92800000000045,92.74500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0,0,788.3999999999994,0.0,0.0,262.83146472595695,510.43304521865645,153.47900000000035,0.0,0,0,0,0,0,0,0.0,0.0
Oahu,2033,0,0.0,300.84973582153407,3359.378655885286,0.0,2331.2453226476496,105.76093155930499,919.6750194000838,374.92800000000005,92.74500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0,0,788.4000000000001,0.0,0.0,262.831464725957,510.4330452186564,153.47900000000016,0.0,0,0,0,0,0,0,0.0,0.0
Oahu,2034,0,0.0,324.22722444746444,3358.796576143305,0.0,2331.24532264765,95.45142429044094,975.0054429881336,374.92800000000045,92.74500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0,0,788.3999999999993,0.0,0.0,262.831464725957,510.43304521865645,153.47900000000033,0.0,0,0,0,0,0,0,0.0,0.0
Oahu,2035,0,0.0,324.73171962740975,3364.1668249815925,0.0,2331.2453226476496,109.88818875977957,1031.9268372224851,374.92800000000005,92.74500000000005,0.0,0.0,0,0,0.0,0.0,0,0,788.4,0.0,0.0,262.831464725957,510.4330452186564,153.47900000000013,0.0,0,0,0,0,0,0,0.0,0.0
Oahu,2036,0,0.0,384.43466585263025,3379.5613704832153,0.0,2331.24532264765,67.26766284058942,1089.3785550056034,374.92800000000045,92.74500000000003,0.0,0.0,0,0,0.0,0.0,0,0,788.3999999999994,0.0,0.0,262.831464725957,510.4330452186565,153.47900000000033,0.0,0,0,0,0,0,0,0.0,0.0
Oahu,2037,0,0.0,334.4047643253297,3402.136234227101,0.0,2331.24532264765,138.19374984486996,1147.537370853745,374.92800000000005,92.74500000000005,0.0,0.0,0,0,0.0,0.0,0,0,788.4000000000003,0.0,0.0,262.8314647259568,510.4330452186564,153.47900000000016,0.0,0,0,0,0,0,0,0.0,0.0
Oahu,2038,0,0.0,370.96539372301777,3425.5339045985643,0.0,2331.2453226476496,117.28038713532082,1150.8560542449989,374.92800000000045,92.74500000000003,0.0,0.0,0,0,0.0,0.0,0,0,788.3999999999993,0.0,0.0,262.83146472595695,568.0719557038944,153.47900000000033,0.0,0,0,0,0,0,0,0.0,0.0
Oahu,2039,0,0.0,418.5379355814258,3471.043974121759,0.0,2331.2453226476496,89.06301682477553,1150.8560542449986,374.92800000000005,92.74500000000006,0.0,0.0,0,0,0,0,0,0,788.4000000000001,0.0,0.0,262.8314647259569,628.0539308312984,153.47900000000013,0.0,0,0,0,0,0,0,0.0,0.0
Oahu,2040,0,0.0,580.6528799845868,2898.1465452795064,0.0,2990.468160609479,128.15498516720248,1150.856054244999,374.92800000000045,92.74500000000003,0.0,0.0,0,0,0,0,0,0,788.3999999999994,0.0,0.0,262.831464725957,688.9530615416903,153.47900000000033,0.0,0,0,0,0,0,0,0.0,0.0
Oahu,2041,0,0.0,562.8263104793567,2905.789983983893,0.0,2990.4681606094796,162.30193035693446,1209.1916446093958,374.92800000000005,92.74500000000006,0.0,0.0,0,0,0,0,0,0,788.4000000000001,-3.76714707113306e-15,0.0,290.7621204217672,688.9530615416909,153.47900000000016,0.0,0,0,0,0,0,0,0.0,0.0
Oahu,2042,0,0.0,623.0907619721785,2847.4099226518615,0.0,2990.730973019399,113.34969134159269,1267.704009490049,374.92800000000045,92.74500000000003,0.0,0.0,0,0,0,0,0,0,788.3999999999994,0.0,0.0,402.0920504029808,688.9530615416903,153.47900000000033,0.0,0,0,0,0,0,0,0.0,0.0
Oahu,2043,0,-8.219229973381198e-15,646.3161937618737,2913.949637727069,1.963482715863288e-14,2990.730973019399,112.107339996829,1434.1266619851756,374.92800000000005,92.74500000000006,0.0,0.0,0,0,0,0,0,0,788.4000000000001,0.0,0.0,402.09205040298093,587.7306547033016,153.47900000000016,0.0,0,0,0,0,0,0,0.0,1.1908522671710842e-11
Oahu,2044,0,0.0,654.2309979802001,2987.3182264416346,0.0,2990.730973019399,116.634681355963,1535.8926709610719,374.92800000000045,92.74500000000002,0.0,0.0,0,0,0,0,0,0,788.3999999999995,0.0,0.0,402.09205040298076,553.4135818950119,153.47900000000033,0.0,0,0,0,0,0,0,0.0,0.0
Oahu,2045,0,0.0,2160.824048043571,1617.6167681430545,0.0,5673.93260037833,274.12569388946133,1514.5580015757128,374.92800000000005,0,0.0,0.0,0,0,0,0,0,0,0.0,8.856396148555708,0.0,401.32846957357236,605.6499649658447,0,0.0,0,0,0,0,0,0,0.0,0.0
Oahu,2046,0,0.0,2197.924013094883,1708.1900009078415,0.0,5704.91223583701,239.94701449265085,1510.7759107356146,374.92800000000045,0,0.0,0.0,0,0,0,0,0,0,15.182393397524073,0.0,0.0,402.02940440166026,618.2625461916656,0,0.0,0,0,0,0,0,0,0.0,0.0
Oahu,2047,0,0.0,2166.2763046406676,1839.4380243466317,0.0,5711.950270505332,262.5018238806896,1510.5317535547977,374.92800000000005,0,0.0,0.0,0,0,0,0,0,0,0.0,15.182393397524075,0.0,401.01095953580074,618.0085635455491,0,0.0,0,0,0,0,0,0,0.0,0.0
Oahu,2048,0,0.0,2079.0885921768345,1958.7406631636877,0.0,5691.63887286144,209.44956671380552,1524.152120031178,374.92800000000045,0,0.4719585316093536,0.0,0,0,0,0,0,0,15.182393397524075,0.0,0.0,402.0585215572036,625.2693931415513,0,0.0,0,0,0,0,0,0,0.0,0.0
Oahu,2049,0,0.0,2030.8869351522133,2066.5515395598372,0.0,5696.688183074607,219.8162801372371,1524.7540298055133,374.92800000000005,0,2.1238133922420914,0.0,0,0,0,0,0,0,15.182393397524075,0.0,0.0,401.4814840843289,626.6111304739059,0,0.0,0,0,0,0,0,0,0.0,0.0
Oahu,2050,0,0.0,2051.492886835144,2160.148920330125,0.0,5699.468648339428,192.4661225042503,1509.380455423242,374.92800000000045,0,6.017471278019298,0.0,0,0,0,0,0,0,8.85639614855574,8.856396148555708,0.6683198227233031,402.09205040298076,646.3529491935569,0,0.0,0,0,0,0,0,0,0.0,0.0
